GID	Pathway	Pathway_Name	Pathway_Class	Pathway_Subclass
1991	Cchi02507	ko04064	NF-kappa B signaling pathway	Environmental Information Processing	Signal transduction
1992	Cchi02507	ko04137	Mitophagy - animal	Cellular Processes	Transport and catabolism
1993	Cchi02507	ko04139	Mitophagy - yeast	Cellular Processes	Transport and catabolism
1994	Cchi02507	ko04310	Wnt signaling pathway	Environmental Information Processing	Signal transduction
1995	Cchi02507	ko04520	Adherens junction	Cellular Processes	Cellular community - eukaryotes
1996	Cchi02507	ko04712	Circadian rhythm - plant	Organismal Systems	Environmental adaptation
2001	Cchi02514	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
2002	Cchi02514	ko04062	Chemokine signaling pathway	Organismal Systems	Immune system
2003	Cchi02514	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
2004	Cchi02514	ko04340	Hedgehog signaling pathway	Environmental Information Processing	Signal transduction
2005	Cchi02514	ko04740	Olfactory transduction	Organismal Systems	Sensory system
2006	Cchi02514	ko04926	Relaxin signaling pathway	Organismal Systems	Endocrine system
2008	Cchi02521	ko00310	Lysine degradation	Metabolism	Amino acid metabolism
2009	Cchi02523	ko03440	Homologous recombination	Genetic Information Processing	Replication and repair
2010	Cchi02523	ko03460	Fanconi anemia pathway	Genetic Information Processing	Replication and repair
2011	Cchi02536	ko03040	Spliceosome	Genetic Information Processing	Transcription
2012	Cchi02537	ko03008	Ribosome biogenesis in eukaryotes	Genetic Information Processing	Translation
2013	Cchi02544	ko03010	Ribosome	Genetic Information Processing	Translation
2022	Cchi02599	ko04137	Mitophagy - animal	Cellular Processes	Transport and catabolism
2023	Cchi02599	ko04217	Necroptosis	Cellular Processes	Cell growth and death
2024	Cchi02599	ko04668	TNF signaling pathway	Environmental Information Processing	Signal transduction
2025	Cchi02602	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation
2026	Cchi02603	ko04662	B cell receptor signaling pathway	Organismal Systems	Immune system
2029	Cchi02604	ko04142	Lysosome	Cellular Processes	Transport and catabolism
2030	Cchi02605	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
2031	Cchi02605	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
2032	Cchi02605	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
2033	Cchi02605	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
2034	Cchi02605	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
2035	Cchi02605	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
2036	Cchi02605	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
2037	Cchi02605	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
2039	Cchi02606	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
2040	Cchi02606	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
2041	Cchi02606	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
2042	Cchi02606	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
2043	Cchi02606	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
2044	Cchi02606	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
2045	Cchi02606	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
2046	Cchi02606	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
2048	Cchi02607	ko03060	Protein export	Genetic Information Processing	Folding, sorting and degradation
2049	Cchi02610	ko00562	Inositol phosphate metabolism	Metabolism	Carbohydrate metabolism
2050	Cchi02610	ko04020	Calcium signaling pathway	Environmental Information Processing	Signal transduction
2051	Cchi02610	ko04070	Phosphatidylinositol signaling system	Environmental Information Processing	Signal transduction
2052	Cchi02613	ko04110	Cell cycle	Cellular Processes	Cell growth and death
2053	Cchi02613	ko04111	Cell cycle - yeast	Cellular Processes	Cell growth and death
2054	Cchi02613	ko04113	Meiosis - yeast	Cellular Processes	Cell growth and death
2055	Cchi02613	ko04114	Oocyte meiosis	Cellular Processes	Cell growth and death
2056	Cchi02613	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation
2057	Cchi02613	ko04914	Progesterone-mediated oocyte maturation	Organismal Systems	Endocrine system
2059	Cchi02614	ko04110	Cell cycle	Cellular Processes	Cell growth and death
2060	Cchi02614	ko04111	Cell cycle - yeast	Cellular Processes	Cell growth and death
2061	Cchi02614	ko04113	Meiosis - yeast	Cellular Processes	Cell growth and death
2062	Cchi02614	ko04114	Oocyte meiosis	Cellular Processes	Cell growth and death
2063	Cchi02614	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation
2064	Cchi02614	ko04914	Progesterone-mediated oocyte maturation	Organismal Systems	Endocrine system
2066	Cchi02615	ko04110	Cell cycle	Cellular Processes	Cell growth and death
2067	Cchi02615	ko04111	Cell cycle - yeast	Cellular Processes	Cell growth and death
2068	Cchi02615	ko04113	Meiosis - yeast	Cellular Processes	Cell growth and death
2069	Cchi02615	ko04114	Oocyte meiosis	Cellular Processes	Cell growth and death
2070	Cchi02615	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation
2071	Cchi02615	ko04914	Progesterone-mediated oocyte maturation	Organismal Systems	Endocrine system
2073	Cchi02618	ko03010	Ribosome	Genetic Information Processing	Translation
2075	Cchi02635	ko04110	Cell cycle	Cellular Processes	Cell growth and death
2076	Cchi02635	ko04111	Cell cycle - yeast	Cellular Processes	Cell growth and death
2077	Cchi02635	ko04113	Meiosis - yeast	Cellular Processes	Cell growth and death
2078	Cchi02635	ko04114	Oocyte meiosis	Cellular Processes	Cell growth and death
2079	Cchi02635	ko04115	p53 signaling pathway	Cellular Processes	Cell growth and death
2080	Cchi02635	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation
2081	Cchi02635	ko04210	Apoptosis	Cellular Processes	Cell growth and death
2082	Cchi02635	ko04214	Apoptosis - fly	Cellular Processes	Cell growth and death
2083	Cchi02635	ko04215	Apoptosis - multiple species	Cellular Processes	Cell growth and death
2096	Cchi02636	ko04110	Cell cycle	Cellular Processes	Cell growth and death
2097	Cchi02636	ko04111	Cell cycle - yeast	Cellular Processes	Cell growth and death
2098	Cchi02636	ko04113	Meiosis - yeast	Cellular Processes	Cell growth and death
2099	Cchi02636	ko04114	Oocyte meiosis	Cellular Processes	Cell growth and death
2100	Cchi02636	ko04115	p53 signaling pathway	Cellular Processes	Cell growth and death
2101	Cchi02636	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation
2102	Cchi02636	ko04210	Apoptosis	Cellular Processes	Cell growth and death
2103	Cchi02636	ko04214	Apoptosis - fly	Cellular Processes	Cell growth and death
2104	Cchi02636	ko04215	Apoptosis - multiple species	Cellular Processes	Cell growth and death
2117	Cchi02637	ko04110	Cell cycle	Cellular Processes	Cell growth and death
2118	Cchi02637	ko04111	Cell cycle - yeast	Cellular Processes	Cell growth and death
2119	Cchi02637	ko04113	Meiosis - yeast	Cellular Processes	Cell growth and death
2120	Cchi02637	ko04114	Oocyte meiosis	Cellular Processes	Cell growth and death
2121	Cchi02637	ko04115	p53 signaling pathway	Cellular Processes	Cell growth and death
2122	Cchi02637	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation
2123	Cchi02637	ko04210	Apoptosis	Cellular Processes	Cell growth and death
2124	Cchi02637	ko04214	Apoptosis - fly	Cellular Processes	Cell growth and death
2125	Cchi02637	ko04215	Apoptosis - multiple species	Cellular Processes	Cell growth and death
2138	Cchi02642	ko04011	MAPK signaling pathway - yeast	Environmental Information Processing	Signal transduction
2139	Cchi02642	ko04014	Ras signaling pathway	Environmental Information Processing	Signal transduction
2140	Cchi02642	ko04015	Rap1 signaling pathway	Environmental Information Processing	Signal transduction
2141	Cchi02642	ko04022	cGMP-PKG signaling pathway	Environmental Information Processing	Signal transduction
2142	Cchi02642	ko04024	cAMP signaling pathway	Environmental Information Processing	Signal transduction
2143	Cchi02642	ko04062	Chemokine signaling pathway	Organismal Systems	Immune system
2144	Cchi02642	ko04071	Sphingolipid signaling pathway	Environmental Information Processing	Signal transduction
2145	Cchi02642	ko04072	Phospholipase D signaling pathway	Environmental Information Processing	Signal transduction
2146	Cchi02642	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
2147	Cchi02642	ko04150	mTOR signaling pathway	Environmental Information Processing	Signal transduction
2148	Cchi02642	ko04270	Vascular smooth muscle contraction	Organismal Systems	Circulatory system
2149	Cchi02642	ko04310	Wnt signaling pathway	Environmental Information Processing	Signal transduction
2150	Cchi02642	ko04350	TGF-beta signaling pathway	Environmental Information Processing	Signal transduction
2151	Cchi02642	ko04360	Axon guidance	Organismal Systems	Development
2152	Cchi02642	ko04510	Focal adhesion	Cellular Processes	Cellular community - eukaryotes
2153	Cchi02642	ko04520	Adherens junction	Cellular Processes	Cellular community - eukaryotes
2154	Cchi02642	ko04530	Tight junction	Cellular Processes	Cellular community - eukaryotes
2155	Cchi02642	ko04611	Platelet activation	Organismal Systems	Immune system
2156	Cchi02642	ko04621	NOD-like receptor signaling pathway	Organismal Systems	Immune system
2157	Cchi02642	ko04660	T cell receptor signaling pathway	Organismal Systems	Immune system
2158	Cchi02642	ko04670	Leukocyte transendothelial migration	Organismal Systems	Immune system
2159	Cchi02642	ko04722	Neurotrophin signaling pathway	Organismal Systems	Nervous system
2160	Cchi02642	ko04810	Regulation of actin cytoskeleton	Cellular Processes	Cell motility
2161	Cchi02642	ko04921	Oxytocin signaling pathway	Organismal Systems	Endocrine system
2162	Cchi02642	ko04972	Pancreatic secretion	Organismal Systems	Digestive system
2173	Cchi02646	ko00564	Glycerophospholipid metabolism	Metabolism	Lipid metabolism
2174	Cchi02668	ko03040	Spliceosome	Genetic Information Processing	Transcription
2175	Cchi02668	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
2176	Cchi02668	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
2177	Cchi02668	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
2178	Cchi02668	ko04213	Longevity regulating pathway - multiple species	Organismal Systems	Aging
2179	Cchi02668	ko04612	Antigen processing and presentation	Organismal Systems	Immune system
2180	Cchi02668	ko04915	Estrogen signaling pathway	Organismal Systems	Endocrine system
2186	Cchi02669	ko03040	Spliceosome	Genetic Information Processing	Transcription
2187	Cchi02669	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
2188	Cchi02669	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
2189	Cchi02669	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
2190	Cchi02669	ko04213	Longevity regulating pathway - multiple species	Organismal Systems	Aging
2191	Cchi02669	ko04612	Antigen processing and presentation	Organismal Systems	Immune system
2192	Cchi02669	ko04915	Estrogen signaling pathway	Organismal Systems	Endocrine system
2198	Cchi02670	ko03040	Spliceosome	Genetic Information Processing	Transcription
2199	Cchi02670	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
2200	Cchi02670	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
2201	Cchi02670	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
2202	Cchi02670	ko04213	Longevity regulating pathway - multiple species	Organismal Systems	Aging
2203	Cchi02670	ko04612	Antigen processing and presentation	Organismal Systems	Immune system
2204	Cchi02670	ko04915	Estrogen signaling pathway	Organismal Systems	Endocrine system
2210	Cchi02671	ko03040	Spliceosome	Genetic Information Processing	Transcription
2211	Cchi02671	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
2212	Cchi02671	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
2213	Cchi02671	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
2214	Cchi02671	ko04213	Longevity regulating pathway - multiple species	Organismal Systems	Aging
2215	Cchi02671	ko04612	Antigen processing and presentation	Organismal Systems	Immune system
2216	Cchi02671	ko04915	Estrogen signaling pathway	Organismal Systems	Endocrine system
2222	Cchi02672	ko03040	Spliceosome	Genetic Information Processing	Transcription
2223	Cchi02672	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
2224	Cchi02672	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
2225	Cchi02672	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
2226	Cchi02672	ko04213	Longevity regulating pathway - multiple species	Organismal Systems	Aging
2227	Cchi02672	ko04612	Antigen processing and presentation	Organismal Systems	Immune system
2228	Cchi02672	ko04915	Estrogen signaling pathway	Organismal Systems	Endocrine system
2234	Cchi02673	ko03040	Spliceosome	Genetic Information Processing	Transcription
2235	Cchi02673	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
2236	Cchi02673	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
2237	Cchi02673	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
2238	Cchi02673	ko04213	Longevity regulating pathway - multiple species	Organismal Systems	Aging
2239	Cchi02673	ko04612	Antigen processing and presentation	Organismal Systems	Immune system
2240	Cchi02673	ko04915	Estrogen signaling pathway	Organismal Systems	Endocrine system
2246	Cchi02674	ko03040	Spliceosome	Genetic Information Processing	Transcription
2247	Cchi02674	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
2248	Cchi02674	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
2249	Cchi02674	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
2250	Cchi02674	ko04213	Longevity regulating pathway - multiple species	Organismal Systems	Aging
2251	Cchi02674	ko04612	Antigen processing and presentation	Organismal Systems	Immune system
2252	Cchi02674	ko04915	Estrogen signaling pathway	Organismal Systems	Endocrine system
2258	Cchi02675	ko03040	Spliceosome	Genetic Information Processing	Transcription
2259	Cchi02675	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
2260	Cchi02675	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
2261	Cchi02675	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
2262	Cchi02675	ko04213	Longevity regulating pathway - multiple species	Organismal Systems	Aging
2263	Cchi02675	ko04612	Antigen processing and presentation	Organismal Systems	Immune system
2264	Cchi02675	ko04915	Estrogen signaling pathway	Organismal Systems	Endocrine system
2270	Cchi02676	ko03040	Spliceosome	Genetic Information Processing	Transcription
2271	Cchi02676	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
2272	Cchi02676	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
2273	Cchi02676	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
2274	Cchi02676	ko04213	Longevity regulating pathway - multiple species	Organismal Systems	Aging
2275	Cchi02676	ko04612	Antigen processing and presentation	Organismal Systems	Immune system
2276	Cchi02676	ko04915	Estrogen signaling pathway	Organismal Systems	Endocrine system
2282	Cchi02691	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
2283	Cchi02692	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
2284	Cchi02697	ko04013	MAPK signaling pathway - fly	Environmental Information Processing	Signal transduction
2285	Cchi02699	ko04013	MAPK signaling pathway - fly	Environmental Information Processing	Signal transduction
2286	Cchi02700	ko00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing	Translation
2287	Cchi02710	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
2288	Cchi02710	ko04721	Synaptic vesicle cycle	Organismal Systems	Nervous system
2289	Cchi02710	ko04961	Endocrine and other factor-regulated calcium reabsorption	Organismal Systems	Excretory system
2291	Cchi02718	ko00071	Fatty acid degradation	Metabolism	Lipid metabolism
2292	Cchi02718	ko00280	Valine, leucine and isoleucine degradation	Metabolism	Amino acid metabolism
2293	Cchi02718	ko00410	beta-Alanine metabolism	Metabolism	Metabolism of other amino acids
2294	Cchi02718	ko00640	Propanoate metabolism	Metabolism	Carbohydrate metabolism
2295	Cchi02718	ko03320	PPAR signaling pathway	Organismal Systems	Endocrine system
2296	Cchi02719	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
2297	Cchi02719	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
2298	Cchi02719	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
2299	Cchi02719	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
2300	Cchi02719	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
2301	Cchi02719	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
2302	Cchi02719	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
2303	Cchi02719	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
2305	Cchi02725	ko00100	Steroid biosynthesis	Metabolism	Lipid metabolism
2306	Cchi02725	ko04142	Lysosome	Cellular Processes	Transport and catabolism
2307	Cchi02725	ko04979	Cholesterol metabolism	Organismal Systems	Digestive system
2308	Cchi02729	ko04341	Hedgehog signaling pathway - fly	Environmental Information Processing	Signal transduction
2309	Cchi02732	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
2310	Cchi02732	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
2311	Cchi02732	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
2312	Cchi02732	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
2313	Cchi02732	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
2314	Cchi02732	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
2315	Cchi02732	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
2316	Cchi02732	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
2318	Cchi02735	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism	Metabolism of cofactors and vitamins
2319	Cchi02735	ko00360	Phenylalanine metabolism	Metabolism	Amino acid metabolism
2320	Cchi02735	ko00940	Phenylpropanoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
2321	Cchi02736	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism	Metabolism of cofactors and vitamins
2322	Cchi02736	ko00360	Phenylalanine metabolism	Metabolism	Amino acid metabolism
2323	Cchi02736	ko00940	Phenylpropanoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
2324	Cchi02742	ko03030	DNA replication	Genetic Information Processing	Replication and repair
2325	Cchi02742	ko04110	Cell cycle	Cellular Processes	Cell growth and death
2326	Cchi02742	ko04111	Cell cycle - yeast	Cellular Processes	Cell growth and death
2327	Cchi02742	ko04113	Meiosis - yeast	Cellular Processes	Cell growth and death
2328	Cchi02756	ko04910	Insulin signaling pathway	Organismal Systems	Endocrine system
2329	Cchi02757	ko04910	Insulin signaling pathway	Organismal Systems	Endocrine system
2330	Cchi02761	ko03015	mRNA surveillance pathway	Genetic Information Processing	Translation
2331	Cchi02763	ko04150	mTOR signaling pathway	Environmental Information Processing	Signal transduction
2332	Cchi02770	ko04659	Th17 cell differentiation	Organismal Systems	Immune system
2334	Cchi02791	ko00480	Glutathione metabolism	Metabolism	Metabolism of other amino acids
2335	Cchi02791	ko00590	Arachidonic acid metabolism	Metabolism	Lipid metabolism
2336	Cchi02791	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
2337	Cchi02791	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
2339	Cchi02792	ko00480	Glutathione metabolism	Metabolism	Metabolism of other amino acids
2340	Cchi02792	ko00590	Arachidonic acid metabolism	Metabolism	Lipid metabolism
2341	Cchi02792	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
2342	Cchi02792	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
2344	Cchi02793	ko00730	Thiamine metabolism	Metabolism	Metabolism of cofactors and vitamins
2345	Cchi02797	ko03018	RNA degradation	Genetic Information Processing	Folding, sorting and degradation
2346	Cchi02798	ko03018	RNA degradation	Genetic Information Processing	Folding, sorting and degradation
2347	Cchi02799	ko00010	Glycolysis / Gluconeogenesis	Metabolism	Carbohydrate metabolism
2348	Cchi02799	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
2349	Cchi02799	ko00071	Fatty acid degradation	Metabolism	Lipid metabolism
2350	Cchi02799	ko00280	Valine, leucine and isoleucine degradation	Metabolism	Amino acid metabolism
2351	Cchi02799	ko00310	Lysine degradation	Metabolism	Amino acid metabolism
2352	Cchi02799	ko00330	Arginine and proline metabolism	Metabolism	Amino acid metabolism
2353	Cchi02799	ko00340	Histidine metabolism	Metabolism	Amino acid metabolism
2354	Cchi02799	ko00380	Tryptophan metabolism	Metabolism	Amino acid metabolism
2355	Cchi02799	ko00410	beta-Alanine metabolism	Metabolism	Metabolism of other amino acids
2356	Cchi02799	ko00561	Glycerolipid metabolism	Metabolism	Lipid metabolism
2357	Cchi02799	ko00620	Pyruvate metabolism	Metabolism	Carbohydrate metabolism
2358	Cchi02799	ko00625	Chloroalkane and chloroalkene degradation	Metabolism	Xenobiotics biodegradation and metabolism
2359	Cchi02799	ko00903	Limonene and pinene degradation	Metabolism	Metabolism of terpenoids and polyketides
2360	Cchi02799	ko00981	Insect hormone biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
2361	Cchi02806	ko04530	Tight junction	Cellular Processes	Cellular community - eukaryotes
2362	Cchi02818	ko03030	DNA replication	Genetic Information Processing	Replication and repair
2363	Cchi02819	ko04320	Dorso-ventral axis formation	Organismal Systems	Development
2364	Cchi02829	ko03010	Ribosome	Genetic Information Processing	Translation
2368	Cchi02842	ko03010	Ribosome	Genetic Information Processing	Translation
2369	Cchi02847	ko04068	FoxO signaling pathway	Environmental Information Processing	Signal transduction
2370	Cchi02847	ko04110	Cell cycle	Cellular Processes	Cell growth and death
2371	Cchi02847	ko04114	Oocyte meiosis	Cellular Processes	Cell growth and death
2372	Cchi02847	ko04115	p53 signaling pathway	Cellular Processes	Cell growth and death
2373	Cchi02847	ko04218	Cellular senescence	Cellular Processes	Cell growth and death
2374	Cchi02847	ko04914	Progesterone-mediated oocyte maturation	Organismal Systems	Endocrine system
2376	Cchi02850	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
2377	Cchi02850	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
2378	Cchi02850	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
2379	Cchi02850	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
2380	Cchi02850	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
2381	Cchi02850	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
2382	Cchi02850	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
2383	Cchi02850	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
2385	Cchi02857	ko00230	Purine metabolism	Metabolism	Nucleotide metabolism
2387	Cchi02858	ko03430	Mismatch repair	Genetic Information Processing	Replication and repair
2390	Cchi02861	ko03040	Spliceosome	Genetic Information Processing	Transcription
2392	Cchi02862	ko00190	Oxidative phosphorylation	Metabolism	Energy metabolism
2393	Cchi02862	ko04145	Phagosome	Cellular Processes	Transport and catabolism
2394	Cchi02862	ko04150	mTOR signaling pathway	Environmental Information Processing	Signal transduction
2395	Cchi02862	ko04721	Synaptic vesicle cycle	Organismal Systems	Nervous system
2396	Cchi02862	ko04966	Collecting duct acid secretion	Organismal Systems	Excretory system
2400	Cchi02868	ko04310	Wnt signaling pathway	Environmental Information Processing	Signal transduction
2401	Cchi02869	ko03040	Spliceosome	Genetic Information Processing	Transcription
2402	Cchi02869	ko04139	Mitophagy - yeast	Cellular Processes	Transport and catabolism
2404	Cchi02871	ko03013	RNA transport	Genetic Information Processing	Translation
2405	Cchi02878	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
2406	Cchi02878	ko04014	Ras signaling pathway	Environmental Information Processing	Signal transduction
2407	Cchi02878	ko04024	cAMP signaling pathway	Environmental Information Processing	Signal transduction
2408	Cchi02878	ko04072	Phospholipase D signaling pathway	Environmental Information Processing	Signal transduction
2409	Cchi02878	ko04137	Mitophagy - animal	Cellular Processes	Transport and catabolism
2410	Cchi02878	ko04140	Autophagy - animal	Cellular Processes	Transport and catabolism
2411	Cchi02878	ko04218	Cellular senescence	Cellular Processes	Cell growth and death
2412	Cchi02878	ko04371	Apelin signaling pathway	Environmental Information Processing	Signal transduction
2413	Cchi02878	ko04810	Regulation of actin cytoskeleton	Cellular Processes	Cell motility
2416	Cchi02882	ko03040	Spliceosome	Genetic Information Processing	Transcription
2417	Cchi02883	ko00900	Terpenoid backbone biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
2418	Cchi02887	ko00230	Purine metabolism	Metabolism	Nucleotide metabolism
2419	Cchi02887	ko00240	Pyrimidine metabolism	Metabolism	Nucleotide metabolism
2420	Cchi02887	ko00310	Lysine degradation	Metabolism	Amino acid metabolism
2421	Cchi02887	ko03020	RNA polymerase	Genetic Information Processing	Transcription
2426	Cchi02888	ko03013	RNA transport	Genetic Information Processing	Translation
2427	Cchi02893	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
2428	Cchi02895	ko00190	Oxidative phosphorylation	Metabolism	Energy metabolism
2429	Cchi02895	ko04145	Phagosome	Cellular Processes	Transport and catabolism
2430	Cchi02895	ko04150	mTOR signaling pathway	Environmental Information Processing	Signal transduction
2431	Cchi02895	ko04721	Synaptic vesicle cycle	Organismal Systems	Nervous system
2432	Cchi02895	ko04966	Collecting duct acid secretion	Organismal Systems	Excretory system
2437	Cchi02907	ko04624	Toll and Imd signaling pathway	Organismal Systems	Immune system
2438	Cchi02910	ko00260	Glycine, serine and threonine metabolism	Metabolism	Amino acid metabolism
2439	Cchi02910	ko00330	Arginine and proline metabolism	Metabolism	Amino acid metabolism
2440	Cchi02910	ko00340	Histidine metabolism	Metabolism	Amino acid metabolism
2441	Cchi02910	ko00350	Tyrosine metabolism	Metabolism	Amino acid metabolism
2442	Cchi02910	ko00360	Phenylalanine metabolism	Metabolism	Amino acid metabolism
2443	Cchi02910	ko00380	Tryptophan metabolism	Metabolism	Amino acid metabolism
2444	Cchi02910	ko00950	Isoquinoline alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
2445	Cchi02910	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
2446	Cchi02910	ko04726	Serotonergic synapse	Organismal Systems	Nervous system
2447	Cchi02910	ko04728	Dopaminergic synapse	Organismal Systems	Nervous system
2451	Cchi02911	ko00670	One carbon pool by folate	Metabolism	Metabolism of cofactors and vitamins
